,INICIO,FIN,TIPO / NIVEL,PROVINCIA / POBLACIÓN,CARRETERA,DESCRIPCIÓN
0, 19:22 30/03/2018 ,  ,['OTROS / Nivel Gris / 1545995'], ALICANTE/ALACANT FORMENTERA DEL SEGURA ,  AP-7 ,   OBSTÁCULO FIJO en:    -  La carretera   AP-7   en el  km 743.016 en FORMENTERA DEL SEGURA (ALICANTE/ALACANT) hacia alicante 
1, 19:14 30/03/2018 ,  ,['OTROS / Nivel Gris / 1545992'], VALENCIA/VALÈNCIA DOS AGUAS ,  CV-580 ,   OBSTÁCULO FIJO en:    -  La carretera   CV-580   en el  km 59.739 en DOS AGUAS (VALENCIA/VALÈNCIA) 
2, 19:02 30/03/2018 ,  ,['METEOROLÓGICO / Nivel Verde / 1544675'], LUGO MONDOÑEDO ,  A-8 ,   VIENTOS por METEOROLOGÍA ADVERSA con circulación condicionada  en:    - La AUTOPISTA / AUTOVÍA  A-8   a la altura de MONDOÑEDO (LUGO) desde el  km 536 al  km 552 sentido AMBOS SENTIDOS Advertencia: TRANSITABLE CON PRECAUCIÓN 
3, 18:57 30/03/2018 ,  ,['OTROS / Nivel Gris / 1545894'], ALICANTE/ALACANT JAVEA/XABIA ,  CV-734 ,   OBSTÁCULO FIJO en:    -  La carretera   CV-734   en el  km 8.04 en JAVEA/XABIA (ALICANTE/ALACANT) hacia el arenal 
4, 18:56 30/03/2018 ,  ,['OTROS / Nivel Gris / 1545986'], VALENCIA/VALÈNCIA  ,  N-332 ,   OBSTÁCULO FIJO en:    -  La carretera   N-332   en el  km 204.969 en  (VALENCIA/VALÈNCIA) hacia denia 
5, 18:55 30/03/2018 ,  ,['OTROS / Nivel Gris / 1545895'], ALICANTE/ALACANT ESTACION (LA) ,  A-31 ,   OBSTÁCULO FIJO en:    -  La carretera   A-31   en el  km 213.028 en ESTACION (LA) (ALICANTE/ALACANT) hacia monforte 
6, 18:53 30/03/2018 ,  ,['OTROS / Nivel Gris / 1545987'], CASTELLÓN/CASTELLÓ ANROIG ,  N-232 ,"   OBSTÁCULO FIJO en:    -  La carretera   N-232   en el  km 31.983 en ANROIG (CASTELLÓN/CASTELLÓ) hacia morella, alt del entrador de enroig "
7, 18:50 30/03/2018 ,  ,['OTROS / Nivel Gris / 1545985'], ALICANTE/ALACANT ALTET (EL) ,  N-338 ,"   OBSTÁCULO FIJO en:    -  La carretera   N-338   en el  km 2.015 en ALTET (EL) (ALICANTE/ALACANT) hacia altet, alt puente de aeropuerto "
8, 18:46 30/03/2018 ,  ,['METEOROLÓGICO / Nivel Rojo / 1545860'], GRANADA SIERRA NEVADA ,  A-395 ,"   NEVADA por METEOROLOGÍA ADVERSA con circulación difícil  en A395:    - La AUTOPISTA / AUTOVÍA  A-395   a la altura de SIERRA NEVADA (GRANADA) desde el  km 31 al  km 32 sentido AMBOS SENTIDOS Advertencia: PROHIBIDO CAMIONES Y ARTICULADOS, PROHIBIDO AUTOBUSES, OBLIGATORIO CADENAS O NEUMÁTICOS DE INVIERNO "
9, 18:44 30/03/2018 ,  ,['OTROS / Nivel Gris / 1545892'], CASTELLÓN/CASTELLÓ POLIGONO INDUSTRIAL ,  N-340 ,   OBSTÁCULO FIJO en:    -  La carretera   N-340   en el  km 974.315 en POLIGONO INDUSTRIAL (CASTELLÓN/CASTELLÓ) 
10, 18:34 30/03/2018 ,  ,['OTROS / Nivel Gris / 1545890'], ALICANTE/ALACANT TORRES ,  CV-767 ,   OBSTÁCULO FIJO en:    -  La carretera   CV-767   en el  km 6.519 en TORRES (ALICANTE/ALACANT) 
11, 18:30 30/03/2018 ,  ,['OTROS / Nivel Gris / 1545888'], VALENCIA/VALÈNCIA VILAMARXANT ,  CV-370 ,   OBSTÁCULO FIJO en:    -  La carretera   CV-370   en el  km 18.862 en VILAMARXANT (VALENCIA/VALÈNCIA) 
12, 18:11 30/03/2018 ,  ,['OTROS / Nivel Gris / 1545980'], ALICANTE/ALACANT ALCOY/ALCOI ,  N-340 ,   OBSTÁCULO FIJO en:    -  La carretera   N-340   en el  km 796.239 en ALCOY/ALCOI (ALICANTE/ALACANT) hacia cocentaina 
13, 18:10 30/03/2018 ,  ,['OTROS / Nivel Gris / 1545981'], BIZKAIA BILBAO ,  A-8 ,   OBSTÁCULO FIJO en:    -  La carretera   A-8   en el  km 116 en BILBAO (BIZKAIA) hacia IRUN 
14, 18:10 30/03/2018 ,  ,['METEOROLÓGICO / Nivel Amarillo / 1545795'], PONTEVEDRA SILLEDA ,  PO-534 ,"   NEVADA por METEOROLOGÍA ADVERSA con circulación irregular  en:    - La CARRETERA PROVINCIAL  PO-534   a la altura de SILLEDA (PONTEVEDRA) desde el  km 16 al  km 28 sentido AMBOS SENTIDOS Advertencia: TRANSITABLE CON PRECAUCIÓN, PAVIMENTO DESLIZANTE, PROHIBIDO CAMIONES Y ARTICULADOS "
15, 18:08 30/03/2018 ,  ,['OTROS / Nivel Gris / 1545979'], ALICANTE/ALACANT VILLAJOYOSA/VILA JOIOSA (LA) ,  N-332a ,   OBSTÁCULO FIJO en:    -  La carretera   N-332a   en el  km 138.777 en VILLAJOYOSA/VILA JOIOSA (LA) (ALICANTE/ALACANT) 
16, 18:07 30/03/2018 ,  ,['OTROS / Nivel Gris / 1545978'], VALENCIA/VALÈNCIA FONT DE LA FIGUERA (LA) ,  A-35 ,   OBSTÁCULO FIJO en:    -  La carretera   A-35   en el  km 11.46 en FONT DE LA FIGUERA (LA) (VALENCIA/VALÈNCIA) hacia albacete / tramo entre  puente del ave y antes de la salida navalon /cree tm font figuera 
17, 17:56 30/03/2018 ,  ,['OTROS / Nivel Gris / 1545976'], VALENCIA/VALÈNCIA LLIRIA ,  CV-35 ,"   OBSTÁCULO FIJO en:    -  La carretera   CV-35   en el  km 29.699 en LLIRIA (VALENCIA/VALÈNCIA) hacia valencia, aprox alt del hospital de lliria, antes de llegar a lliria "
18, 17:48 30/03/2018 ,  ,['RETENCIÓN / CONGESTIÓN / Nivel Rojo / 1545975'], BARCELONA SANT BOI DE LLOBREGAT ,  C-32 ,   RETENCIÓN / CONGESTIÓN por CIRCULACIÓN con circulación difícil  en:    -  La carretera   C-32   a la altura de SANT BOI DE LLOBREGAT (BARCELONA) desde el  km 55.5 al  km 53.5 sentido NORTE hacia BARCELONA 
19, 17:47 30/03/2018 ,  ,['RETENCIÓN / CONGESTIÓN / Nivel Negro / 1545957'], BARCELONA CORNELLA DE LLOBREGAT ,  B-20 ,   RETENCIÓN / CONGESTIÓN por CIRCULACIÓN con circulación interrumpida  en:    -  La carretera   B-20   a la altura de CORNELLA DE LLOBREGAT (BARCELONA) desde el  km 3 al  km 0 sentido NORTE hacia BARCELONA-DESVIAMENTS PER SORTIDA 15 
20, 17:35 30/03/2018 ,  ,['OTROS / Nivel Gris / 1545877'], ALICANTE/ALACANT VILLAJOYOSA/VILA JOIOSA (LA) ,  N-332a ,   OBSTÁCULO FIJO en:    -  La carretera   N-332a   en el  km 138.042 en VILLAJOYOSA/VILA JOIOSA (LA) (ALICANTE/ALACANT) 
21, 17:33 30/03/2018 ,  ,['OTROS / Nivel Gris / 1545875'], VALENCIA/VALÈNCIA AIELO DE MALFERIT ,  A-7 ,   OBSTÁCULO FIJO en:    -  La carretera   A-7   en el  km 413 en AIELO DE MALFERIT (VALENCIA/VALÈNCIA) hacia aielo 
22, 17:29 30/03/2018 ,  ,['OTROS / Nivel Verde / 1545876'], CÁCERES ZARZA LA MAYOR ,  EX-108 ,   OBSTÁCULO FIJO por ACCIDENTE con circulación condicionada  en:    - FRONTERA de la carretera   EX-108   en el  km 124.1 en ZARZA LA MAYOR (CÁCERES) sentido DECRECIENTE DE LA KILOMETRACIÓN hacia NAVALMORAL Advertencia: CARRIL DERECHO CERRADO 
23, 17:28 30/03/2018 ,  ,['PUERTO DE MONTAÑA / Nivel Rojo / 1545874'], ASTURIAS RAYA (LA) ,  AS-112 ,"   NEVADA por METEOROLOGÍA ADVERSA con circulación difícil  en SAN ISIDRO:    - PUERTO DE MONTAÑA de la carretera   AS-112   a la altura de RAYA (LA) (ASTURIAS) desde el  km 33 al  km 43 sentido AMBOS SENTIDOS Advertencia: PROHIBIDO CAMIONES Y ARTICULADOS, PROHIBIDO AUTOBUSES, OBLIGATORIO CADENAS O NEUMÁTICOS DE INVIERNO "
24, 17:27 30/03/2018 ,  ,['PUERTO DE MONTAÑA / Nivel Negro / 1545506'], ASTURIAS PLAZA (LA) ,  AS-228 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación interrumpida  en VENTANA:    - PUERTO DE MONTAÑA de la carretera   AS-228   desde el  km 39  en PLAZA (LA) (ASTURIAS) al  km 49 en PARAMO (ASTURIAS) sentido AMBOS SENTIDOS Advertencia: INTRANSITABLE 
25, 17:19 30/03/2018 ,  ,['OTROS / Nivel Negro / 1545974'], ZAMORA SAN MARTIN DE CASTAÑEDA ,  ZA-103 ,   CARRETERA CERRADA EN AMBOS SENTIDOS por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    -  La carretera   ZA-103   en el  km 8.6 en SAN MARTIN DE CASTAÑEDA (ZAMORA) sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
26, 17:17 30/03/2018 ,  ,['OTROS / Nivel Gris / 1545970'], ALICANTE/ALACANT NOVELDA ,  N-325 ,   OBSTÁCULO FIJO en:    -  La carretera   N-325   en el  km 2.067 en NOVELDA (ALICANTE/ALACANT) 
27, 17:12 30/03/2018 ,  ,['OTROS / Nivel Gris / 1545872'], VALENCIA/VALÈNCIA REQUENA ,  N-III ,"   OBSTÁCULO FIJO en:    -  La carretera   N-III   en el  km 274.643 en REQUENA (VALENCIA/VALÈNCIA) hacia valencia, 3-4kms despues de requena "
28, 17:12 30/03/2018 ,  ,['METEOROLÓGICO / Nivel Verde / 1545971'], LUGO MONDOÑEDO ,  A-8 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación condicionada  en:    -  La carretera   A-8   desde el  km 536  en MONDOÑEDO (LUGO) al  km 552 en ABADIN (LUGO) sentido AMBOS SENTIDOS Advertencia: TRANSITABLE CON PRECAUCIÓN 
29, 17:09 30/03/2018 ,  ,['OTROS / Nivel Gris / 1545969'], ALICANTE/ALACANT PARROQUIA DE LA MATANZA ,  A-7 ,   OBSTÁCULO FIJO en:    -  La carretera   A-7   en el  km 549.988 en PARROQUIA DE LA MATANZA (ALICANTE/ALACANT) hacia murcia 
30, 17:04 30/03/2018 ,  ,['OTROS / Nivel Gris / 1545870'], ALICANTE/ALACANT SAX ,  A-31 ,   OBSTÁCULO FIJO en:    -  La carretera   A-31   en el  km 197.019 en SAX (ALICANTE/ALACANT) hacia villena 
31, 16:57 30/03/2018 ,  ,['OTROS / Nivel Gris / 1545967'], CASTELLÓN/CASTELLÓ VALL D'UIXO (LA) ,  A-7 ,   OBSTÁCULO FIJO en:    -  La carretera   A-7   en el  km 284.018 en VALL D'UIXO (LA) (CASTELLÓN/CASTELLÓ) hacia valencia 
32, 16:36 30/03/2018 ,  ,['METEOROLÓGICO / Nivel Negro / 1534614'], SALAMANCA HOYA (LA) ,  DSA-180 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    -  La carretera   DSA-180   a la altura de HOYA (LA) (SALAMANCA) desde el  km 0 al  km 9.5 sentido AMBOS SENTIDOS Advertencia: INTRANSITABLE 
33, 16:22 30/03/2018 ,  ,['OTROS / Nivel Gris / 1545959'], CASTELLÓN/CASTELLÓ OROPESA ,  AP-7 ,   OBSTÁCULO FIJO en:    -  La carretera   AP-7   en el  km 409.006 en OROPESA (CASTELLÓN/CASTELLÓ) hacia barcelona/entre 408 y 409 
