,INICIO,FIN,TIPO / NIVEL,PROVINCIA / POBLACIÓN,CARRETERA,DESCRIPCIÓN
0, 20:46 18/03/2018 ,  ,['METEOROLÓGICO / Nivel Verde / 1534265'], ALBACETE VIANOS ,  CM-3216 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación condicionada  en:    -  La carretera   CM-3216   desde el  km 13  en VIANOS (ALBACETE) al  km 20 en ALCARAZ (ALBACETE) sentido AMBOS SENTIDOS 
1, 22:26 18/03/2018 ,  ,['OTROS / Nivel Gris / 1534202'], ALICANTE/ALACANT BENIDORM ,  N-332 ,   OBSTÁCULO FIJO en:    -  La carretera   N-332   en el  km 149.005 en BENIDORM (ALICANTE/ALACANT) hacia altea / carril dcho 
2, 04:25 30/01/2018 ,  ,['OTROS / Nivel Verde / 1521661'], ALICANTE/ALACANT CALP ,  N-332 ,   OBSTÁCULO FIJO por METEOROLOGÍA ADVERSA con circulación condicionada  en:    - La CARRETERA NACIONAL  N-332   a la altura de CALP (ALICANTE/ALACANT) desde el  km 165.02 al  km 164.98 sentido DECRECIENTE DE LA KILOMETRACIÓN hacia ALICANTE Advertencia: ESTRECHAMIENTO CARRIL DERECHO 
3, 12:41 18/03/2018 ,  ,['OTROS / Nivel Gris / 1533979'], ALICANTE/ALACANT GRANJA DE ROCAMORA ,  A-7 ,   OBSTÁCULO FIJO en:    -  La carretera   A-7   en el  km 538.98 en GRANJA DE ROCAMORA (ALICANTE/ALACANT) hacia alicante 
4, 13:15 18/03/2018 ,  ,['OTROS / Nivel Gris / 1533931'], ALICANTE/ALACANT NOVELDA ,  N-325 ,   OBSTÁCULO FIJO en:    -  La carretera   N-325   en el  km 2.724 en NOVELDA (ALICANTE/ALACANT) 
5, 11:57 18/03/2018 ,  ,['OTROS / Nivel Gris / 1533917'], ALICANTE/ALACANT REALENGO (EL) ,  A-7 ,   OBSTÁCULO FIJO en:    -  La carretera   A-7   en el  km 528.949 en REALENGO (EL) (ALICANTE/ALACANT) hacia alicante  poco antes de salida 529 crevillente/catral 
6, 21:37 18/03/2018 ,  ,['OTROS / Nivel Gris / 1534279'], ALICANTE/ALACANT SAN MIGUEL DE SALINAS ,  AP-7 ,   OBSTÁCULO FIJO en:    -  La carretera   AP-7   en el  km 754.005 en SAN MIGUEL DE SALINAS (ALICANTE/ALACANT) hacia alicante 
7, 19:17 18/03/2018 ,  ,['OTROS / Nivel Gris / 1534168'], ALICANTE/ALACANT SANTA FAZ ,  N-332 ,   OBSTÁCULO FIJO en:    -  La carretera   N-332   en el  km 113.684 en SANTA FAZ (ALICANTE/ALACANT) hacia Alicante 
8, 14:44 18/03/2018 ,  ,['METEOROLÓGICO / Nivel Amarillo / 1534043'], ALMERÍA ALMERIA ,  A-7 ,   VIENTO RACHEADO por METEOROLOGÍA ADVERSA con circulación irregular  en:    - La AUTOPISTA / AUTOVÍA  A-7   a la altura de ALMERIA (ALMERÍA) desde el  km 438 al  km 400 sentido CRECIENTE DE LA KILOMETRACIÓN Advertencia: CONDICIONES DIFÍCILES CIRCULACIÓN 
9, 19:32 17/03/2018 ,  ,['METEOROLÓGICO / Nivel Rojo / 1533758'], ALMERÍA BAYARCAL ,  AL-5402 ,"   NEVADA por METEOROLOGÍA ADVERSA con circulación difícil  en:    -  La carretera   AL-5402   a la altura de BAYARCAL (ALMERÍA) desde el  km 26 al  km 28.65 sentido AMBOS SENTIDOS Advertencia: PROHIBIDO CAMIONES Y ARTICULADOS, PROHIBIDO AUTOBUSES, OBLIGATORIO CADENAS O NEUMÁTICOS DE INVIERNO "
10, 21:53 18/03/2018 ,  ,['OTROS / Nivel Verde / 1534284'], ASTURIAS CAMPUMANES ,  A-66 ,   CARRIL(ES) IZQUIERDO(S) CERRADO(S) por METEOROLOGÍA ADVERSA con circulación condicionada  en:    - La AUTOPISTA / AUTOVÍA  A-66   a la altura de CAMPUMANES (ASTURIAS) desde el  km 63.9 al  km 65 sentido CRECIENTE DE LA KILOMETRACIÓN Advertencia: CARRIL IZQUIERDO CERRADO 
11, 13:22 18/03/2018 ,  ,['PUERTO DE MONTAÑA / Nivel Rojo / 1533934'], ASTURIAS PUERTU (EL) ,  AS-117 ,"   NEVADA por METEOROLOGÍA ADVERSA con circulación difícil  en PUERTO DE TARNA:    - PUERTO DE MONTAÑA de la carretera   AS-117   a la altura de PUERTU (EL) (ASTURIAS) desde el  km 56 al  km 66 sentido AMBOS SENTIDOS Advertencia: PROHIBIDO CAMIONES Y ARTICULADOS, PROHIBIDO AUTOBUSES, OBLIGATORIO CADENAS O NEUMÁTICOS DE INVIERNO "
12, 20:51 18/03/2018 ,  ,['OTROS / Nivel Verde / 1534267'], ASTURIAS VISTALEGRE ,  A-66 ,   CARRIL(ES) DERECHO(S) CERRADO(S) por METEOROLOGÍA ADVERSA con circulación condicionada  en:    - La AUTOPISTA / AUTOVÍA  A-66   a la altura de VISTALEGRE (ASTURIAS) desde el  km 54.4 al  km 56.5 sentido CRECIENTE DE LA KILOMETRACIÓN Advertencia: CARRIL DERECHO CERRADO 
13, 17:33 16/03/2018 ,  ,['OTROS / Nivel Verde / 1533040'], ÁVILA MIJARES ,  AV-901 ,   OBSTÁCULO FIJO por METEOROLOGÍA ADVERSA con circulación condicionada  en DESPRENDIMIENTO AV-900:    - La CARRETERA PROVINCIAL  AV-901   en el  km 25.8 en MIJARES (ÁVILA) sentido AMBOS SENTIDOS Advertencia: ESTRECHAMIENTO CARRILES 
14, 17:36 16/03/2018 ,  ,['OTROS / Nivel Verde / 1533041'], ÁVILA MIJARES ,  AV-901 ,   OBSTÁCULO FIJO por METEOROLOGÍA ADVERSA con circulación condicionada  en DESPRENDIMIENTO AV-900:    - La CARRETERA PROVINCIAL  AV-901   en el  km 21.9 en MIJARES (ÁVILA) sentido AMBOS SENTIDOS Advertencia: ESTRECHAMIENTO CARRILES 
15, 10:52 13/03/2018 ,  ,['OTROS / Nivel Negro / 1528904'], ÁVILA NAVATALGORDO ,  AV-901 ,   CARRETERA CERRADA EN AMBOS SENTIDOS por DESPRENDIMIENTOS con circulación interrumpida  en:    - La CARRETERA AUTONÓMICA  AV-901   a la altura de NAVATALGORDO (ÁVILA) desde el  km 12.128 al  km 12.153 sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
16, 17:32 16/03/2018 ,  ,['METEOROLÓGICO / Nivel Negro / 1531381'], ÁVILA SANTIAGO DEL COLLADO ,  AV-932 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación interrumpida  en PUERTO PEÑANEGRA:    - La CARRETERA AUTONÓMICA  AV-932   desde el  km 12  en SANTIAGO DEL COLLADO (ÁVILA) al  km 18 en HERGUIJUELA (ÁVILA) sentido AMBOS SENTIDOS Advertencia: INTRANSITABLE 
17, 17:37 16/03/2018 ,  ,['OTROS / Nivel Verde / 1526702'], ÁVILA SOTALBO ,  AV-900 ,   OBSTÁCULO FIJO por METEOROLOGÍA ADVERSA con circulación condicionada  en DESPRENDIMIENTO AV-900:    - La CARRETERA PROVINCIAL  AV-900   en el  km 19.7 en SOTALBO (ÁVILA) sentido AMBOS SENTIDOS Advertencia: ESTRECHAMIENTO CARRILES 
18, 14:40 08/03/2018 ,  ,['RETENCIÓN / CONGESTIÓN / Nivel Amarillo / 1524896'], BARCELONA BARBERA DEL VALLES ,  B-30 ,   RETENCIÓN / CONGESTIÓN por CIRCULACIÓN con circulación irregular  en:    -  La carretera   B-30   a la altura de BARBERA DEL VALLES (BARCELONA) desde el  km 10 al  km 11 sentido SUR hacia ENLLAÇ C-58 
19, 15:23 26/02/2018 ,  ,['RETENCIÓN / CONGESTIÓN / Nivel Amarillo / 1517313'], BARCELONA BARBERA DEL VALLES ,  B-30 ,   RETENCIÓN / CONGESTIÓN por CIRCULACIÓN con circulación irregular  en:    -  La carretera   B-30   a la altura de BARBERA DEL VALLES (BARCELONA) desde el  km 10 al  km 11 sentido SUR hacia ENLLAÇ AMB C-58 
20, 13:23 09/03/2018 ,  ,['RETENCIÓN / CONGESTIÓN / Nivel Amarillo / 1525598'], BARCELONA BARBERA DEL VALLES ,  B-30 ,   RETENCIÓN / CONGESTIÓN por CIRCULACIÓN con circulación irregular  en:    -  La carretera   B-30   a la altura de BARBERA DEL VALLES (BARCELONA) desde el  km 10 al  km 11 sentido SUR hacia ENLLAÇ AMB C-58 
21, 16:54 08/03/2018 ,  ,['RETENCIÓN / CONGESTIÓN / Nivel Amarillo / 1524800'], BARCELONA BARBERA DEL VALLES ,  B-30 ,   RETENCIÓN / CONGESTIÓN por CIRCULACIÓN con circulación irregular  en:    -  La carretera   B-30   a la altura de BARBERA DEL VALLES (BARCELONA) desde el  km 10 al  km 11.2 sentido SUR hacia TARRAGONA 
22, 07:09 15/03/2018 ,  ,['RETENCIÓN / CONGESTIÓN / Nivel Rojo / 1530959'], BARCELONA BARCELONA ,  B-10 ,   RETENCIÓN / CONGESTIÓN por AVERÍA con circulación difícil  en:    -  La carretera   B-10   a la altura de BARCELONA (BARCELONA) desde el  km 1 al  km 3 sentido NORTE hacia NUS TRINITAT-1 CARRIL TALLAT 
23, 19:24 13/03/2018 ,  ,['RETENCIÓN / CONGESTIÓN / Nivel Amarillo / 1529236'], BARCELONA BARCELONA ,  B-20 ,   RETENCIÓN / CONGESTIÓN por CIRCULACIÓN con circulación irregular  en:    -  La carretera   B-20   a la altura de BARCELONA (BARCELONA) desde el  km 10 al  km 5.5 sentido NORTE hacia NUS TRINITAT 
24, 14:54 16/03/2018 ,  ,['OTROS / Nivel Verde / 1532881'], BARCELONA BERGA ,  C-16 ,   DESCONOCIDA por RESTRICCIONES IMPUESTAS EN LA CALZADA con circulación condicionada  en:    -  La carretera   C-16   a la altura de BERGA (BARCELONA) desde el  km 96.5 al  km 100.8 sentido NORTE hacia CERCS 
25, 13:16 11/03/2018 ,  ,['OTROS / Nivel Verde / 1527061'], BARCELONA BERGA ,  C-16 ,   DESCONOCIDA por RESTRICCIONES IMPUESTAS EN LA CALZADA con circulación condicionada  en:    -  La carretera   C-16   a la altura de BERGA (BARCELONA) desde el  km 99 al  km 96.5 sentido SUR hacia BARCELONA 
26, 23:35 26/02/2018 ,  ,['METEOROLÓGICO / Nivel Negro / 1517541'], BARCELONA CALLDETENES ,  C-25 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    -  La carretera   C-25   a la altura de CALLDETENES (BARCELONA) desde el  km 189 al  km 225 sentido AMBOS SENTIDOS 
27, 09:37 18/03/2018 ,  ,['OTROS / Nivel Verde / 1533943'], BARCELONA CASTELLGALI ,  C-55 ,   DESCONOCIDA por RESTRICCIONES IMPUESTAS EN LA CALZADA con circulación condicionada  en:    -  La carretera   C-55   a la altura de CASTELLGALI (BARCELONA) desde el  km 26 al  km 25.5 sentido SUR hacia ABRERA 
